ref,status,description,link,url,Reference,Alternative Reference,Application Received,Application Validated,Address,Proposal,Status,Decision,Decision Issued Date,Appeal Status,Appeal Decision
S/OUT/13/1555,Application Granted,"Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=MV2DFEPT04V00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=MV2DFEPT04V00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/OUT/13/1555,Not Applicable,2013-10-18,Mon 11 Nov 2013,Land North Of A420 Eastern Villages Swindon,"Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",Application Granted,Granted Permission,2021-08-11,Not Applicable,Not Applicable
S/AMEND/21/1881,Minor Amendment Approved,Non-material amendment to previous outline permission S/OUT/13/1555 regarding a variation to wording of 49 (Noise 3 - Mechanical Ventilation).,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=R3G4ONPTITM00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=R3G4ONPTITM00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/AMEND/21/1881,PP-10399681,2021-12-01,Wed 01 Dec 2021,Land North Of A420 Eastern Villages Swindon,Non-material amendment to previous outline permission S/OUT/13/1555 regarding a variation to wording of 49 (Noise 3 - Mechanical Ventilation).,Minor Amendment Approved,Minor Amendment Approved,2024-07-12,Not Applicable,Not Applicable
S/COND/21/1956,Conditions Partially Discharged,Discharge of condition 38 (Archaeology) from previous outline permission S/OUT/13/1555.,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=R45ZCAPTJ7S00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=R45ZCAPTJ7S00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/21/1956,PP-10482962,2021-12-15,Wed 15 Dec 2021,Land North Of A420 Eastern Villages Swindon,Discharge of condition 38 (Archaeology) from previous outline permission S/OUT/13/1555.,Decided,Conditions Partially Discharged,2022-06-23,Not Applicable,Not Applicable
S/COND/21/1998,Conditions Discharged,Discharge of condition 6 (Phasing Details) from previous outline permission S/OUT/13/1555.,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=R4KHD1PTJFS00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=R4KHD1PTJFS00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/21/1998,PP-10485479,2021-12-23,Thu 23 Dec 2021,Land North Of A420 Eastern Villages Swindon,Discharge of condition 6 (Phasing Details) from previous outline permission S/OUT/13/1555.,Conditions Discharged,Conditions Discharged,2022-08-02,Not Applicable,Not Applicable
S/COND/22/0031,Conditions Discharged,Discharge of condition 8 (Strategic Design Code) from Outline Planning Permission S/OUT/13/1555.,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=R5CKHQPTJO200&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=R5CKHQPTJO200&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/22/0031,PP-10528047,2022-01-07,Fri 07 Jan 2022,Land North Of A420 Eastern Villages Swindon,Discharge of condition 8 (Strategic Design Code) from Outline Planning Permission S/OUT/13/1555.,Conditions Discharged,Conditions Discharged,2024-05-01,Not Applicable,Not Applicable
S/COND/22/0315,Conditions Partially Discharged,"Discharge of condition 9 (Character Area Design Code) from Outline Planning Permission S/OUT/13/1555 - Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=R7VB7TPTL4V00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=R7VB7TPTL4V00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/22/0315,PP-11042404,2022-02-25,Fri 25 Feb 2022,Land North Of A420 Eastern Villages Swindon,"Discharge of condition 9 (Character Area Design Code) from Outline Planning Permission S/OUT/13/1555 - Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",Decided,Conditions Partially Discharged,2024-07-12,Not Applicable,Not Applicable
S/COND/22/0316,Conditions Partially Discharged,"Dicharge of condition 10 (Framework, Landscape, Ecology & Arboricultural Management Plan) from previous permission S/OUT/13/1555.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=R7VB8APTL4X00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=R7VB8APTL4X00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/22/0316,PP-11042468,2022-02-25,Mon 28 Feb 2022,Land North Of A420 Eastern Villages Swindon,"Dicharge of condition 10 (Framework, Landscape, Ecology & Arboricultural Management Plan) from previous permission S/OUT/13/1555.",Decided,Conditions Partially Discharged,2023-12-19,Not Applicable,Not Applicable
S/COND/22/0451,Conditions Partially Discharged,"Discharge of condition 47 (Noise 1, Residential Amenity) from previous permission S/OUT/13/1555.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=R8YA3JPTLTW00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=R8YA3JPTLTW00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/22/0451,PP-11130702,2022-03-18,Fri 18 Mar 2022,Land North Of A420 New Eastern Villages Swindon,"Discharge of condition 47 (Noise 1, Residential Amenity) from previous permission S/OUT/13/1555.",Decided,Conditions Partially Discharged,2022-07-07,Not Applicable,Not Applicable
S/COND/22/0483,Conditions Partially Discharged,"Discharge of condition 26 (Thornhill Road Junction) and partial discharge of conditions 36 (Construction Method Statement), 37 (Construction and Environmental Management Plan), 13 (Tree Protection), 17 (Bats), 53 (Slab Levels) and 54 (Materials) from previous outline permission S/OUT/13/1555.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=R9B8RXPTM4D00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=R9B8RXPTM4D00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/22/0483,PP-11042984,2022-03-25,Thu 31 Mar 2022,Land North Of A420 Eastern Villages Swindon,"Discharge of condition 26 (Thornhill Road Junction) and partial discharge of conditions 36 (Construction Method Statement), 37 (Construction and Environmental Management Plan), 13 (Tree Protection), 17 (Bats), 53 (Slab Levels) and 54 (Materials) from previous outline permission S/OUT/13/1555.",Decided,Conditions Partially Discharged,2024-04-02,Not Applicable,Not Applicable
S/COND/22/0711,Conditions Partially Discharged,"Discharge of conditions 40 (Flood Mitigation) and 41 (Surface Water - Full Site) from Outline Planning Permission S/OUT/13/1555 - Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=RBLYCVPTFQ200&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=RBLYCVPTFQ200&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/22/0711,PP-11042949,2022-05-09,Mon 09 May 2022,Land North Of A420 Eastern Villages Swindon,"Discharge of conditions 40 (Flood Mitigation) and 41 (Surface Water - Full Site) from Outline Planning Permission S/OUT/13/1555 - Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",Decided,Conditions Partially Discharged,2024-04-29,Not Applicable,Not Applicable
S/COND/22/0845,Conditions Partially Discharged,Partial discharge of condition 39 (Archaeology - Management Plan) for phases 1 and 4 (South Marston) from previous permission S/OUT/13/1555.,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=RCT380PTGFD00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=RCT380PTGFD00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/22/0845,PP-11042944,2022-06-01,Wed 01 Jun 2022,Land North Of A420 New Eastern Villages Swindon,Partial discharge of condition 39 (Archaeology - Management Plan) for phases 1 and 4 (South Marston) from previous permission S/OUT/13/1555.,Decided,Conditions Partially Discharged,2023-05-02,Not Applicable,Not Applicable
S/COND/22/0879,Conditions Partially Discharged,"Discharge of condition 36 (Construction Method Statement) for Haul Road including partial discharge of conditions 13 (Tree Protection), 17 (Bats), 37 (Construction and Environmental Management Plan), 53 (Slab Levels) and 54 (Materials) following outline permission S/OUT/13/1555.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=RD94Y1PTGMR00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=RD94Y1PTGMR00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/22/0879,PP-11284409,2022-06-10,Fri 10 Jun 2022,Land North Of A420 Eastern Villages Swindon,"Discharge of condition 36 (Construction Method Statement) for Haul Road including partial discharge of conditions 13 (Tree Protection), 17 (Bats), 37 (Construction and Environmental Management Plan), 53 (Slab Levels) and 54 (Materials) following outline permission S/OUT/13/1555.",Decided,Conditions Partially Discharged,2023-01-27,Not Applicable,Not Applicable
S/COND/22/0886,Conditions Discharged,"Discharge of condition 59 (Thames Water - Waste Water) from Outline Planning Permission S/OUT/13/1555 - Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=RD9R9IPTGNO00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=RD9R9IPTGNO00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/22/0886,PP-11042967,2022-06-10,Fri 10 Jun 2022,Land North Of A420 Eastern Villages Swindon,"Discharge of condition 59 (Thames Water - Waste Water) from Outline Planning Permission S/OUT/13/1555 - Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",Conditions Discharged,Conditions Discharged,2022-09-01,Not Applicable,Not Applicable
S/COND/22/1067,Condition Compliance Response Sent,"Discharge of conditions 33 (Highways England M4 J15) and 34 (Highways England A419 White Hart) from Outline Planning Permission S/OUT/13/1555, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; and the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=REUP5UPTHIM00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=REUP5UPTHIM00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/22/1067,PP-11381777,2022-07-11,Mon 11 Jul 2022,Land North Of A420 Eastern Villages Swindon,"Discharge of conditions 33 (Highways England M4 J15) and 34 (Highways England A419 White Hart) from Outline Planning Permission S/OUT/13/1555, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; and the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",Decided,Condition Compliance response,2022-08-18,Not Applicable,Not Applicable
S/COND/22/1186,Conditions Partially Discharged,"Discharge of condition 30 (Old Vicarage Lane) from previous permission S/OUT/13/1555 - Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=RFZA9LPTI5W00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=RFZA9LPTI5W00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/22/1186,PP-11284420,2022-08-02,Tue 02 Aug 2022,"Land North Of A420, New Eastern Villages, Swindon","Discharge of condition 30 (Old Vicarage Lane) from previous permission S/OUT/13/1555 - Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",Decided,Conditions Partially Discharged,2025-11-04,Not Applicable,Not Applicable
S/COND/22/1820,Conditions Partially Discharged,"Discharge of condition 27 (Old Vicarage Lane/A420) from Outline Planning Permission S/OUT/13/1555 - Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=RN8H1MPTMHY00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=RN8H1MPTMHY00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/22/1820,PP-11284422,2022-12-21,Wed 21 Dec 2022,Land North Of A420 Eastern Villages Swindon,"Discharge of condition 27 (Old Vicarage Lane/A420) from Outline Planning Permission S/OUT/13/1555 - Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",Decided,Conditions Partially Discharged,2025-01-30,Not Applicable,Not Applicable
S/COND/23/0154,Conditions Partially Discharged,"Discharge of conditions 36 (Construction Method Statement), 37 (Construction and Environmental Management Plan), 13 (Tree Protection) 53 (Slab Levels) and 54 (Materials) from previous application S/OUT/13/1555 - Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=RPRD98PTG0S00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=RPRD98PTG0S00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/23/0154,PP-11874597,2023-02-08,Wed 08 Feb 2023,Land North Of A420 Eastern Villages Swindon,"Discharge of conditions 36 (Construction Method Statement), 37 (Construction and Environmental Management Plan), 13 (Tree Protection) 53 (Slab Levels) and 54 (Materials) from previous application S/OUT/13/1555 - Outline Planning Permission, for a sustainable urban extension to the east of Swindon and north of the A420 of up to 2,380 dwellings together with a mixed use local centres/areas (including A1 retail up to 1,500 sq metres, services (A2), restaurants, pubs and takeaways (A3, A4, A5), business uses (B1) up to 1,000 sq metres, residential); community uses (D1); sheltered and/or care accommodation (C2/C3); two primary schools; green infrastructure including formal (including playing fields) and informal open space, landscape, biodiversity and amenity space; play space (including NEAPS/LEAPS/MUGAS); changing and sports facilities (including D2) and ancillary retail uses; sustainable drainage systems; highway, cycle and pedestrian routes; car parking; infrastructure (including utilities); engineering works including ground remodelling; demolition, site reclamation and removal of structures; the formation of new accesses from the A420, Old Vicarage Lane and Thornhill Road.",Decided,Conditions Partially Discharged,2026-02-04,Not Applicable,Not Applicable
S/COND/23/0848,Conditions Discharged,Discharge of condition 6 (Phasing Details) from previous outline permission S/OUT/13/1555.,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=RX9YP1PTK7J00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,https://pa.swindon.gov.uk/publicaccess/applicationDetails.do?previousCaseType=Property&keyVal=RX9YP1PTK7J00&previousCaseNumber=MVW0I2PT0F501&previousCaseUprn=010026657266&activeTab=summary&previousKeyVal=MVW0I9PT0F500,S/COND/23/0848,PP-12277593,2023-07-04,Tue 04 Jul 2023,Land North Of A420 Eastern Villages Swindon,Discharge of condition 6 (Phasing Details) from previous outline permission S/OUT/13/1555.,Conditions Discharged,Conditions Discharged,2023-12-06,Not Applicable,Not Applicable
